system:index,carbonStock,lat_1,lat_2,long_1,long_2,lulc,name,perfil,year,.geo
0_0,6255,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1985,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_1,6246,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1986,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_2,6244,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1987,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_3,6193,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1988,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_4,6293,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1989,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_5,6275,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1990,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_6,6312,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1991,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_7,6326,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1992,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_8,6403,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1993,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_9,6457,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1994,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_10,6486,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1995,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_11,6486,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1996,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_12,6481,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1997,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_13,6494,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1998,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_14,6494,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,1999,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_15,6526,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,2000,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_16,6526,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,2001,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_17,6526,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,2002,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_18,6512,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,2003,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_19,6521,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,11,"Lagoa da Confusão, TO",TO-01,2004,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
0_20,6183,"10° 52' 32,1'' S",-10.88,"49° 36' 16,9'' W",-49.6,21,"Lagoa da Confusão, TO",TO-01,2005,"{""type"":""Point"",""coordinates"":[-49.599999999999994,-10.88]}"
