system:index,Ano,Latitude,Longitude,Município,Perfil,.geo
0_0,1985,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_1,1986,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_2,1987,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_3,1988,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_4,1989,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_5,1990,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_6,1991,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_7,1992,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_8,1993,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_9,1994,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_10,1995,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_11,1996,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_12,1997,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_13,1998,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_14,1999,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_15,2000,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_16,2001,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_17,2002,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
0_18,2003,-10,87558333333330000,-49,TO-01,"{""type"":""Point"",""coordinates"":[121.27465719587615,-10.0]}"
